epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9946,1.31452,2.03111,1.43568,0.67156,0.53713,0.57567,0.27935,1.70095,1.4542,1.65661,0.00023654,0.00023654,0.00023654
2,79.7568,1.19234,1.40347,1.3452,0.67564,0.54688,0.57888,0.27756,1.83858,1.51772,1.77811,0.000472191,0.000472191,0.000472191
3,115.647,1.19419,1.34697,1.3451,0.65464,0.48176,0.53969,0.24724,1.82808,1.68335,1.7832,0.000705486,0.000705486,0.000705486
4,150.751,1.17947,1.29726,1.33332,0.69732,0.46739,0.52614,0.243,1.8556,1.571,1.87722,0.000703397,0.000703397,0.000703397
5,185.909,1.1563,1.23614,1.31808,0.75457,0.57358,0.62386,0.2953,1.79484,1.43988,1.73152,0.000699863,0.000699863,0.000699863
6,221.129,1.13514,1.19113,1.29533,0.80499,0.6016,0.66669,0.31893,1.70732,1.22794,1.6778,0.000696328,0.000696328,0.000696328
7,257.454,1.10406,1.13166,1.28384,0.74978,0.59663,0.64803,0.31827,1.69657,1.34463,1.68002,0.000692794,0.000692794,0.000692794
8,291.416,1.09613,1.11043,1.28051,0.84072,0.58772,0.67854,0.35038,1.66643,1.2113,1.60556,0.00068926,0.00068926,0.00068926
9,326.769,1.06417,1.06188,1.25733,0.84034,0.59374,0.69294,0.36533,1.57417,1.09648,1.56699,0.000685726,0.000685726,0.000685726
10,360.915,1.04965,1.01301,1.23972,0.81225,0.62352,0.67198,0.33858,1.62656,1.17159,1.60855,0.000682191,0.000682191,0.000682191
11,395.904,1.02934,0.98883,1.23018,0.76147,0.61191,0.68713,0.37665,1.53747,1.11986,1.5422,0.000678657,0.000678657,0.000678657
12,431.763,1.01883,0.96671,1.2218,0.81133,0.62876,0.68853,0.38669,1.4945,1.08366,1.53739,0.000675123,0.000675123,0.000675123
13,471.055,1.01083,0.95116,1.21272,0.81154,0.62089,0.70792,0.38561,1.55893,1.08475,1.57013,0.000671588,0.000671588,0.000671588
14,508.759,0.99167,0.92277,1.20019,0.82057,0.64715,0.72183,0.40186,1.50443,1.001,1.51064,0.000668054,0.000668054,0.000668054
15,546.603,0.98556,0.89925,1.19006,0.83133,0.64661,0.71996,0.37951,1.58885,1.0616,1.60047,0.00066452,0.00066452,0.00066452
16,584.461,0.96245,0.86957,1.18051,0.85236,0.65784,0.74457,0.41489,1.48851,0.97976,1.52658,0.000660986,0.000660986,0.000660986
17,619.046,0.95788,0.87287,1.17667,0.80322,0.67329,0.72863,0.39132,1.52457,0.99405,1.53272,0.000657451,0.000657451,0.000657451
18,653.891,0.95833,0.85687,1.17932,0.7477,0.71192,0.74533,0.4238,1.4563,0.96362,1.47973,0.000653917,0.000653917,0.000653917
19,688.934,0.95358,0.83693,1.16567,0.83498,0.69453,0.75622,0.43456,1.43973,0.89495,1.48198,0.000650383,0.000650383,0.000650383
20,725.079,0.94154,0.82807,1.16757,0.86205,0.66382,0.75482,0.41996,1.49658,0.92532,1.51673,0.000646848,0.000646848,0.000646848
