epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4433,1.31477,2.03199,1.43659,0.61783,0.51391,0.55275,0.25604,1.83534,1.51688,1.76061,0.00023654,0.00023654,0.00023654
2,62.9246,1.18783,1.39564,1.34242,0.7032,0.58097,0.6167,0.28873,1.81485,1.48245,1.75061,0.000468667,0.000468667,0.000468667
3,93.689,1.18828,1.33489,1.33982,0.6308,0.52795,0.54921,0.25085,1.84067,1.5833,1.77885,0.000694905,0.000694905,0.000694905
4,123.435,1.17057,1.28721,1.32897,0.69908,0.53078,0.57276,0.25531,1.935,1.45933,1.89281,0.000687493,0.000687493,0.000687493
5,151.946,1.14596,1.23387,1.3112,0.66367,0.51034,0.56799,0.26216,1.88718,1.47927,1.77377,0.000678657,0.000678657,0.000678657
6,180.583,1.13599,1.19239,1.29675,0.7312,0.57669,0.63445,0.31087,1.75689,1.29801,1.69936,0.000669821,0.000669821,0.000669821
7,209.245,1.10002,1.12934,1.27647,0.78677,0.52524,0.62533,0.31057,1.66764,1.31323,1.69021,0.000660986,0.000660986,0.000660986
8,239.732,1.09184,1.09914,1.27635,0.79969,0.60025,0.67263,0.33582,1.71377,1.21713,1.6691,0.00065215,0.00065215,0.00065215
9,273.516,1.06083,1.04315,1.25397,0.79805,0.61518,0.69033,0.36296,1.65419,1.12006,1.66509,0.000643314,0.000643314,0.000643314
10,305.966,1.04137,1.00406,1.23484,0.81407,0.62634,0.68885,0.35805,1.59157,1.14348,1.6009,0.000634478,0.000634478,0.000634478
11,338.023,1.02583,0.97832,1.22988,0.80119,0.59739,0.66374,0.34506,1.65829,1.22297,1.65951,0.000625642,0.000625642,0.000625642
12,369.996,1.01134,0.9514,1.21607,0.77991,0.62358,0.68833,0.38195,1.53864,1.12063,1.57636,0.000616807,0.000616807,0.000616807
13,401.892,1.00203,0.93431,1.207,0.85356,0.61723,0.71995,0.39304,1.52783,1.08328,1.55098,0.000607971,0.000607971,0.000607971
14,434.128,0.98211,0.90071,1.19451,0.80426,0.64618,0.70686,0.38531,1.50118,1.03619,1.50604,0.000599135,0.000599135,0.000599135
15,465.911,0.97696,0.88213,1.18753,0.84088,0.64566,0.72979,0.38594,1.60444,1.02115,1.58507,0.0005903,0.0005903,0.0005903
16,497.87,0.95077,0.85133,1.17371,0.86837,0.66981,0.74387,0.41379,1.50518,0.9846,1.53228,0.000581464,0.000581464,0.000581464
17,530.103,0.94766,0.85651,1.17155,0.80472,0.68762,0.75046,0.41742,1.5006,0.95593,1.52436,0.000572628,0.000572628,0.000572628
18,562.831,0.94548,0.83047,1.169,0.82362,0.6607,0.75218,0.42007,1.43999,0.94126,1.49402,0.000563792,0.000563792,0.000563792
19,595.822,0.94027,0.812,1.15598,0.83067,0.65325,0.73209,0.40709,1.47304,0.98194,1.53436,0.000554956,0.000554956,0.000554956
20,627.498,0.92283,0.79942,1.15414,0.86273,0.67828,0.7637,0.43429,1.50562,0.92883,1.52923,0.000546121,0.000546121,0.000546121
21,659.692,0.91544,0.79253,1.14973,0.85973,0.69383,0.77964,0.44134,1.45853,0.86309,1.49138,0.000537285,0.000537285,0.000537285
22,692.236,0.91057,0.77369,1.1415,0.86441,0.69501,0.76355,0.44875,1.41922,0.88016,1.48953,0.000528449,0.000528449,0.000528449
23,724.128,0.90293,0.76896,1.14092,0.88673,0.7023,0.7816,0.46389,1.39101,0.85806,1.43187,0.000519613,0.000519613,0.000519613
24,755.941,0.88532,0.7517,1.12612,0.85842,0.70887,0.78214,0.44523,1.4808,0.88904,1.49729,0.000510778,0.000510778,0.000510778
25,787.728,0.87961,0.74718,1.12781,0.84833,0.70102,0.76472,0.44865,1.42328,0.87552,1.45966,0.000501942,0.000501942,0.000501942
26,819.406,0.87226,0.73023,1.11827,0.8142,0.73738,0.7796,0.47659,1.30615,0.83479,1.3846,0.000493106,0.000493106,0.000493106
27,851.746,0.86488,0.72491,1.11838,0.8754,0.71676,0.7896,0.45726,1.43377,0.84348,1.48388,0.000484271,0.000484271,0.000484271
28,884.469,0.86801,0.7108,1.11266,0.8718,0.73236,0.79257,0.48506,1.31236,0.81684,1.37291,0.000475435,0.000475435,0.000475435
29,916.685,0.85351,0.70589,1.10733,0.86888,0.70715,0.79263,0.4759,1.33946,0.82572,1.38536,0.000466599,0.000466599,0.000466599
30,948.676,0.83706,0.69356,1.09728,0.84039,0.75209,0.80319,0.47787,1.42084,0.82044,1.46725,0.000457763,0.000457763,0.000457763
31,980.866,0.83695,0.68374,1.09481,0.84972,0.74072,0.79496,0.48465,1.27364,0.81912,1.34669,0.000448928,0.000448928,0.000448928
32,1012.68,0.82546,0.67616,1.08658,0.89585,0.72895,0.79919,0.48218,1.34465,0.80567,1.41424,0.000440092,0.000440092,0.000440092
33,1045.22,0.82917,0.67539,1.08946,0.88971,0.7327,0.80247,0.48926,1.32196,0.8083,1.38728,0.000431256,0.000431256,0.000431256
34,1077.79,0.81974,0.66236,1.08701,0.89602,0.73064,0.8053,0.50251,1.28548,0.77292,1.35608,0.00042242,0.00042242,0.00042242
35,1109.99,0.80893,0.65319,1.08096,0.88641,0.73228,0.81156,0.50619,1.2573,0.76477,1.33864,0.000413584,0.000413584,0.000413584
36,1141.72,0.80927,0.64165,1.07443,0.9099,0.72746,0.80864,0.49946,1.27439,0.77711,1.3572,0.000404749,0.000404749,0.000404749
37,1171.4,0.80134,0.63959,1.07034,0.89943,0.73726,0.82061,0.51142,1.28309,0.73482,1.35698,0.000395913,0.000395913,0.000395913
38,1201.14,0.80037,0.63799,1.07292,0.89813,0.74199,0.81457,0.50972,1.24965,0.73644,1.36419,0.000387077,0.000387077,0.000387077
39,1230.7,0.79014,0.6244,1.06693,0.88664,0.74712,0.82761,0.50532,1.33888,0.74569,1.38866,0.000378242,0.000378242,0.000378242
40,1260.22,0.7823,0.61603,1.06519,0.87768,0.73807,0.8166,0.52163,1.21658,0.74348,1.2839,0.000369406,0.000369406,0.000369406
41,1289.7,0.77944,0.61352,1.06006,0.91446,0.7378,0.82876,0.53311,1.24228,0.7119,1.32909,0.00036057,0.00036057,0.00036057
42,1318.93,0.76868,0.61152,1.05851,0.89978,0.74545,0.82789,0.51624,1.27315,0.71145,1.34382,0.000351734,0.000351734,0.000351734
43,1348.31,0.76515,0.59523,1.05289,0.8838,0.75933,0.82676,0.54309,1.19093,0.70255,1.28657,0.000342899,0.000342899,0.000342899
44,1377.8,0.75824,0.59473,1.04871,0.8897,0.76575,0.83486,0.53385,1.23171,0.67955,1.33582,0.000334063,0.000334063,0.000334063
45,1407.35,0.74759,0.58326,1.04243,0.89479,0.76051,0.82141,0.52528,1.26208,0.71517,1.34206,0.000325227,0.000325227,0.000325227
46,1436.93,0.75233,0.58992,1.04969,0.87107,0.75843,0.82458,0.52818,1.22561,0.70686,1.32817,0.000316391,0.000316391,0.000316391
